id,nome,descricao,tipo_1,tipo_2,habilidade,peso_kg,altura_m,hp,ataque,defesa,ataque_especial,defesa_especial,velocidade,foto_url
11,metapod,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",bug,puro,shed-skin,9.9,0.7,50,20,55,25,25,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png
12,butterfree,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",bug,flying,compound-eyes,32.0,1.1,60,45,50,90,80,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png
13,weedle,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",bug,poison,shield-dust,3.2,0.3,40,35,30,20,20,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png
14,kakuna,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",bug,poison,shed-skin,10.0,0.6,45,25,50,25,25,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png
15,beedrill,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,bug,poison,swarm,29.5,1.0,65,90,40,45,80,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png
16,pidgey,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,normal,flying,keen-eye,1.8,0.3,40,45,40,35,35,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png
17,pidgeotto,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",normal,flying,keen-eye,30.0,1.1,63,60,55,50,50,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png
18,pidgeot,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",normal,flying,keen-eye,39.5,1.5,83,80,75,70,70,101,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png
19,rattata,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",normal,puro,run-away,3.5,0.3,30,56,35,25,35,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png
20,raticate,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,normal,puro,run-away,18.5,0.7,55,81,60,50,70,97,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png
21,spearow,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",normal,flying,keen-eye,2.0,0.3,40,60,30,31,31,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png
22,fearow,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",normal,flying,keen-eye,38.0,1.2,65,90,65,61,61,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png
23,ekans,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",poison,puro,intimidate,6.9,2.0,35,60,44,40,54,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png
24,arbok,It is rumored that the ferocious warning markings on its belly differ from area to area.,poison,puro,intimidate,65.0,3.5,60,95,69,65,79,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png
25,pikachu,"When several of these POKéMON gather, their electricity could build and cause lightning storms.",electric,puro,static,6.0,0.4,35,55,40,50,50,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png
26,raichu,Its long tail serves as a ground to protect itself from its own high-voltage power.,electric,puro,static,30.0,0.8,60,90,55,90,80,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png
27,sandshrew,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,ground,puro,sand-veil,12.0,0.6,50,75,85,20,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png
28,sandslash,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,ground,puro,sand-veil,29.5,1.0,75,100,110,45,55,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png
29,nidoran-f,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",poison,puro,poison-point,7.0,0.4,55,47,52,40,40,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png
30,nidorina,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,poison,puro,poison-point,20.0,0.8,70,62,67,55,55,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png
31,nidoqueen,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,poison,ground,poison-point,60.0,1.3,90,92,87,75,85,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png
32,nidoran-m,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",poison,puro,poison-point,9.0,0.5,46,57,40,40,40,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png
33,nidorino,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,poison,puro,poison-point,19.5,0.9,61,72,57,55,55,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png
34,nidoking,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.",poison,ground,poison-point,62.0,1.4,81,102,77,85,75,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png
35,clefairy,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,fairy,puro,cute-charm,7.5,0.6,70,45,48,60,65,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png
36,clefable,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,fairy,puro,cute-charm,40.0,1.3,95,70,73,95,90,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png
37,vulpix,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",fire,puro,flash-fire,9.9,0.6,38,41,40,50,65,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png
38,ninetales,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,fire,puro,flash-fire,19.9,1.1,73,76,75,81,100,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png
39,jigglypuff,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",normal,fairy,cute-charm,5.5,0.5,115,45,20,45,25,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png
40,wigglytuff,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",normal,fairy,cute-charm,12.0,1.0,140,70,45,85,50,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png
41,zubat,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,poison,flying,inner-focus,7.5,0.8,40,45,35,30,40,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png
42,golbat,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",poison,flying,inner-focus,55.0,1.6,75,80,70,65,75,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png
43,oddish,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",grass,poison,chlorophyll,5.4,0.5,45,50,55,75,65,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png
44,gloom,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,grass,poison,chlorophyll,8.6,0.8,60,65,70,85,75,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png
45,vileplume,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",grass,poison,chlorophyll,18.6,1.2,75,80,85,110,90,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png
46,paras,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.,bug,grass,effect-spore,5.4,0.3,35,70,55,45,55,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png
47,parasect,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,bug,grass,effect-spore,29.5,1.0,60,95,80,60,80,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png
48,venonat,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,bug,poison,compound-eyes,30.0,1.0,60,55,50,40,55,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png
49,venomoth,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.,bug,poison,shield-dust,12.5,1.5,70,65,60,90,75,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png
50,diglett,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,ground,puro,sand-veil,0.8,0.2,10,55,25,35,45,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png
51,dugtrio,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,ground,puro,sand-veil,33.3,0.7,35,100,50,50,70,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png
52,meowth,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,normal,puro,pickup,4.2,0.4,40,45,35,40,40,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png
53,persian,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",normal,puro,limber,32.0,1.0,65,70,60,65,65,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png
54,psyduck,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.",water,puro,damp,19.6,0.8,50,52,48,65,50,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png
55,golduck,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.",water,puro,damp,76.6,1.7,80,82,78,95,80,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png
56,mankey,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.,fighting,puro,vital-spirit,28.0,0.5,40,80,35,35,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png
57,primeape,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.,fighting,puro,vital-spirit,32.0,1.0,65,105,60,60,70,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png
58,growlithe,Very protective of its territory. It will bark and bite to repel intruders from its space.,fire,puro,intimidate,19.0,0.7,55,70,45,70,50,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png
59,arcanine,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,fire,puro,intimidate,155.0,1.9,90,110,80,100,80,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png
60,poliwag,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.,water,puro,water-absorb,12.4,0.6,40,50,40,40,40,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png
61,poliwhirl,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy.",water,puro,water-absorb,20.0,1.0,65,65,65,50,50,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png
62,poliwrath,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.,water,fighting,water-absorb,54.0,1.3,90,95,95,70,90,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png
63,abra,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety.",psychic,puro,synchronize,19.5,0.9,25,20,15,105,55,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png
64,kadabra,It emits special alpha waves from its body that induce headaches just by being close by.,psychic,puro,synchronize,56.5,1.3,40,35,30,120,70,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png
65,alakazam,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000.",psychic,puro,synchronize,48.0,1.5,55,50,45,135,95,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png
66,machop,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.,fighting,puro,guts,19.5,0.8,70,80,50,35,35,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png
67,machoke,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions.",fighting,puro,guts,70.5,1.5,80,100,70,50,60,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png
68,machamp,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.",fighting,puro,guts,130.0,1.6,90,130,80,65,85,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png
69,bellsprout,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.,grass,poison,chlorophyll,4.0,0.7,50,75,35,70,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png
70,weepinbell,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.,grass,poison,chlorophyll,6.4,1.0,65,90,50,85,45,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png
71,victreebel,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.",grass,poison,chlorophyll,15.5,1.7,80,105,65,100,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png
72,tentacool,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.,water,poison,clear-body,45.5,0.9,40,40,35,50,100,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png
73,tentacruel,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.",water,poison,clear-body,55.0,1.6,80,70,65,80,120,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png
74,geodude,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.",rock,ground,rock-head,20.0,0.4,40,80,100,30,30,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png
75,graveler,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.,rock,ground,rock-head,105.0,1.0,55,95,115,45,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png
76,golem,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.,rock,ground,rock-head,300.0,1.4,80,120,130,55,65,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png
77,ponyta,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.,fire,puro,run-away,30.0,1.0,50,85,55,65,65,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png
78,rapidash,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.",fire,puro,run-away,95.0,1.7,65,100,70,80,80,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png
79,slowpoke,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.,water,psychic,oblivious,36.0,1.2,90,65,65,40,40,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png
80,slowbro,The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.,water,psychic,oblivious,78.5,1.6,95,75,110,100,80,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png
81,magnemite,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.,electric,steel,magnet-pull,6.0,0.3,25,35,70,95,55,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png
82,magneton,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.,electric,steel,magnet-pull,60.0,1.0,50,60,95,120,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png
83,farfetchd,The sprig of green onions it holds is its weapon. It is used much like a metal sword.,normal,flying,keen-eye,15.0,0.8,52,90,55,58,62,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png
84,doduo,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.,normal,flying,run-away,39.2,1.4,35,85,45,35,35,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png
85,dodrio,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake.",normal,flying,run-away,85.2,1.8,60,110,70,60,60,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/85.png
86,seel,The protruding horn on its head is very hard. It is used for bashing through thick ice.,water,puro,thick-fat,90.0,1.1,65,45,55,45,70,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/86.png
87,dewgong,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.,water,ice,thick-fat,120.0,1.7,90,70,80,70,95,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/87.png
88,grimer,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.,poison,puro,stench,30.0,0.9,80,80,50,40,50,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/88.png
89,muk,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison.",poison,puro,stench,30.0,1.2,105,105,75,65,100,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/89.png
90,shellder,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.,water,puro,shell-armor,4.0,0.3,30,65,100,45,25,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/90.png
91,cloyster,"When attacked, it launches its horns in quick volleys. Its innards have never been seen.",water,ice,shell-armor,132.5,1.5,50,95,180,85,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/91.png
92,gastly,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice.",ghost,poison,levitate,0.1,1.3,30,35,30,100,35,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/92.png
93,haunter,"Because of its ability to slip through block walls, it is said to be from an­ other dimension.",ghost,poison,levitate,0.1,1.6,45,50,45,115,55,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/93.png
94,gengar,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright.",ghost,poison,cursed-body,40.5,1.5,60,65,60,130,75,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/94.png
95,onix,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black.",rock,ground,rock-head,210.0,8.8,35,45,160,30,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/95.png
96,drowzee,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.,psychic,puro,insomnia,32.4,1.0,60,48,45,43,90,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/96.png
97,hypno,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION.",psychic,puro,insomnia,75.6,1.6,85,73,70,73,115,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/97.png
98,krabby,"Its pincers are not only powerful weapons, they are used for balance when walking sideways.",water,puro,hyper-cutter,6.5,0.4,30,105,90,25,25,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/98.png
99,kingler,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use.",water,puro,hyper-cutter,60.0,1.3,55,130,115,50,50,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/99.png
100,voltorb,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people.",electric,puro,soundproof,10.4,0.5,40,30,50,55,55,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/100.png
101,electrode,It stores electric energy under very high pressure. It often explodes with little or no provocation.,electric,puro,soundproof,66.6,1.2,60,50,70,80,80,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/101.png
102,exeggcute,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms.",grass,psychic,chlorophyll,2.5,0.4,60,40,80,60,45,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/102.png
103,exeggutor,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE.",grass,psychic,chlorophyll,120.0,2.0,95,95,85,125,75,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/103.png
104,cubone,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face.",ground,puro,rock-head,6.5,0.4,50,50,95,40,50,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/104.png
105,marowak,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.,ground,puro,rock-head,45.0,1.0,60,80,110,50,80,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/105.png
106,hitmonlee,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides.",fighting,puro,limber,49.8,1.5,50,120,53,35,110,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/106.png
107,hitmonchan,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see.",fighting,puro,keen-eye,50.2,1.4,50,105,79,35,110,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/107.png
108,lickitung,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.,normal,puro,own-tempo,65.5,1.2,90,55,75,60,75,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/108.png
109,koffing,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning.",poison,puro,levitate,1.0,0.6,40,65,95,60,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/109.png
110,weezing,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years.",poison,puro,levitate,9.5,1.2,65,90,120,85,70,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/110.png
111,rhyhorn,"A POKéMON with a one-track mind. Once it charges,  it won't stop running until it falls asleep.",ground,rock,lightning-rod,115.0,1.0,80,85,95,30,30,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/111.png
112,rhydon,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees.",ground,rock,lightning-rod,120.0,1.9,105,130,120,45,45,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/112.png
113,chansey,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.,normal,puro,natural-cure,34.6,1.1,250,5,5,35,105,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/113.png
114,tangela,The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks.,grass,puro,chlorophyll,35.0,1.0,65,55,115,100,40,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/114.png
115,kangaskhan,The infant rarely ventures out of its mother's protective pouch until it is 3 years old.,normal,puro,early-bird,80.0,2.2,105,95,80,40,80,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/115.png
